Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal)
Ackee canned drained,2.9,15.2,0.8,151
Agar dried,1.3,1.2,Tr,16
Agar dried soaked and drained,0.2,0.1,Tr,2
Alfalfa sprouts raw,4.0,0.7,0.4,24
Allspice ground,6.1,8.7,N,N
Almonds flaked and ground,21.1,55.8,6.9,612
Almonds toasted,21.0,52.5,5.9,579
Almonds weighed with shells,7.8,18.5,1.9,205
Almonds whole kernels,21.2,49.9,5.3,554
Amaranth leaves boiled in unsalted water,3.0,0.3,0.3,16
Amaranth leaves raw,3.5,0.3,0.3,18
Amla,0.5,0.1,13.7,58
Anchovies canned in oil drained,25.2,10.0,0.0,191
Anise seeds,17.6,15.9,N,N
Apple juice concentrate unsweetened commerical,0.5,0.6,57.6,223
Apple juice clear ambient and chilled,0.1,Tr,9.7,37
Apple sauce homemade,0.3,0.2,20.2,79
Apples cooking baked with sugar flesh only,0.2,0.4,17.1,69
Apples cooking baked with sugar flesh only weighed with skin,0.2,0.3,14.3,57
Apples cooking baked without sugar flesh only,0.2,0.4,11.4,47
Apples cooking baked without sugar flesh only weighed with skin,0.2,0.3,9.6,40
Apples cooking raw flesh only peeled,0.3,0.3,8.9,37
Apples cooking raw flesh only weighed with skin and core,0.2,0.2,6.5,27
Apples cooking stewed with sugar flesh only,0.2,0.3,20.8,81
Apples cooking stewed without sugar flesh only,0.2,0.3,9.7,40
Apples eating dried,2.0,0.5,60.1,238
Apples eating raw flesh and skin,0.6,0.5,11.6,51
Apples eating raw flesh and skin weighed with core,0.5,0.4,10.0,43
Apricots dried,4.8,0.7,43.4,188
Apricots dried stewed with sugar,1.9,0.3,22.0,92
Apricots dried stewed without sugar,2.0,0.3,17.8,77
Apricots raw flesh and skin,0.9,0.1,7.2,31
Apricots raw flesh and skin weighed with stones,0.8,0.1,6.6,29
Apricots ready-to-eat semi-dried,2.2,0.5,39.4,161
Apricots stewed with sugar,0.7,0.1,18.3,72
Apricots stewed with sugar weighed with stones,0.6,0.1,17.1,67
Apricots stewed without sugar,0.7,0.1,6.2,27
Apricots stewed without sugar weighed with stones,0.7,0.1,5.8,25
Arrowhead boiled in unsalted water,4.2,0.3,17.8,91
Arrowhead raw,5.0,0.3,21.5,107
Arrowroot,0.4,0.1,94.0,355
Artichoke globe base of leaves and heart boiled in unsalted water,2.9,0.2,2.7,18
Artichoke globe boiled weighed as served,1.2,0.1,1.2,8
Artichoke globe raw,2.8,0.2,2.7,18
Artichoke Jerusalem boiled in unsalted water flesh only,1.6,0.1,10.6,41
Asafoetida,4.0,1.1,N,N
Asparagus grilled,3.5,0.4,2.0,25
Asparagus raw,2.9,0.6,2.0,25
Asparagus roasted in rapeseed oil,3.5,1.5,2.0,35
Asparagus steamed,2.9,0.4,1.6,21
Aubergine flesh and skin boiled in unsalted water,0.7,0.5,1.8,14
Aubergine flesh and skin roasted in rapeseed oil,2.1,3.8,5.2,62
Aubergine fried in butter,1.2,31.9,2.8,302
Aubergine fried in corn oil,1.2,31.9,2.8,302
Aubergine fried in rapeseed oil,1.2,31.9,2.8,302
Aubergine raw,0.9,0.4,2.2,15
Aubergine stuffed with lentils and vegetables,2.0,4.6,3.9,64
Aubergine stuffed with rice,1.9,2.1,15.9,86
Aubergine stuffed with vegetables cheese topping,5.0,9.7,3.6,119
Avocado Fuerte flesh only,2.1,19.3,1.9,189
Avocado Fuerte flesh only weighed with skin and stone,1.5,13.7,1.3,134
Avocado Hass flesh only,1.8,17.4,1.8,171
Avocado Hass flesh only weighed with skin and stone,1.3,12.0,1.3,118
Ayr raw,15.9,1.3,0.0,75
Babaco flesh only,1.1,0.1,3.1,17
Bacha raw,18.1,5.6,0.0,123
Bacon loin steaks lean grilled,28.9,4.3,1.1,158
Bacon rashers back dry-cured grilled,28.4,15.9,0.0,257
Bacon rashers back dry-fried,24.2,22.0,0.0,295
Bacon rashers back fat trimmed grilled,25.7,12.3,0.0,214
Bacon rashers back fat trimmed raw,18.8,6.7,0.0,136
Bacon rashers back grilled,23.2,21.6,0.0,287
Bacon rashers back grilled crispy,36.0,18.8,0.0,313
Bacon rashers back microwaved,24.2,23.3,0.0,307
Bacon rashers back raw,16.5,16.5,0.0,215
Bacon rashers back reduced salt grilled,24.1,20.6,0.0,282
Bacon rashers back smoked grilled,23.4,22.1,0.0,293
Bacon rashers back sweetcure grilled,23.8,17.4,1.6,258
Bacon rashers back 'tendersweet' grilled,26.4,11.9,Tr,213
Bacon rashers middle fried in corn oil,23.4,28.5,0.0,350
Bacon rashers middle grilled,24.8,23.1,0.0,307
Bacon rashers middle raw,15.2,20.0,0.0,241
Bacon rashers streaky fried in corn oil,23.8,26.6,0.0,335
Bacon rashers streaky grilled,23.8,26.9,0.0,337
Bacon rashers streaky raw,15.8,23.6,0.0,276
Bacon fat only average cooked,9.3,72.8,0.0,692
Bacon fat only average raw,4.8,80.9,0.0,747
Bagels plain,10.0,1.8,57.8,273
Baked beans canned in barbecue sauce,5.3,0.4,14.0,77
Baked beans canned in tomato sauce,5.0,0.5,15.0,81
Baked beans canned in tomato sauce reduced sugar reduced salt,5.0,0.5,13.5,75
Baked beans canned in tomato sauce with pork sausages,6.0,4.5,11.0,98
Baking fat and margarine (75-90% fat) hard block,Tr,76.4,0.0,688
Baking powder,5.2,0.0,37.8,163
Banana bread homemade,4.4,12.4,53.9,331
Banana split homemade,2.3,11.8,23.9,205
Bananas flesh only,1.2,0.1,20.3,81
Bananas raw flesh only weighed with skin,0.8,Tr,12.8,51
Bannocks made with beremeal homemade,9.3,1.7,56.8,266
Bannocks made with wheat flour homemade,8.5,1.3,65.5,292
Barbecue sauce,1.0,0.1,36.1,140
Barbecue sauce homemade,2.7,21.0,26.1,300
Barcelona nuts Kernel only,10.9,64.0,5.2,639
Barcelona nuts kernel only weighed with shells,6.8,39.7,3.2,397
Barley water diluted,0.1,Tr,4.7,18
Barley water undiluted,0.3,Tr,23.7,90
Barley pearl boiled,2.7,0.6,27.6,120
Barley pearl raw,7.9,1.7,83.6,360
Basil dried ground,14.4,4.0,43.2,251
Basil fresh,3.1,0.8,5.1,40
Bass sea flesh only baked,23.2,6.8,0.0,154
Bass sea flesh only baked weighed with bones and skin,20.6,6.1,0.0,137
Bass sea flesh only raw,20.0,9.8,0.0,168
Bass sea flesh only raw weighed with bones and skin,17.2,8.4,0.0,144
Bay leaf dried,7.6,8.4,48.6,313
Bean loaf mixed beans homemade,6.6,7.2,15.1,148
Beanburger aduki fried in rapeseed oil homemade,8.1,7.3,24.1,190
Beanburger butter bean fried in rapeseed oil homemade,5.7,10.6,20.2,194
Beanburger red kidney bean fried in rapeseed oil,6.2,10.7,21.7,202
Beanburger soya fried in rapeseed oil,10.5,10.7,14.5,193
Beans aduki whole dried boiled in unsalted water,9.3,0.2,22.5,123
Beans aduki whole dried raw,19.9,0.5,50.1,272
Beans balor ends trimmed raw,2.7,0.1,3.0,23
Beans blackeye whole dried boiled in unsalted water,8.8,0.7,19.9,116
Beans blackeye whole dried raw,23.5,1.6,54.1,311
Beans broad dried raw,26.1,2.1,32.5,245
Beans broad whole boiled in unsalted water,9.0,1.0,12.3,91
Beans broad whole raw,5.7,1.0,7.2,59
Beans butter canned re-heated drained,5.9,0.5,13.0,77
Beans butter dried boiled in unsalted water,8.1,1.1,16.8,105
Beans butter dried raw,19.1,1.7,52.9,290
Beans cannellini canned re-heated drained,7.6,1.6,15.9,104
Beans chick peas canned re-heated drained,8.4,3.0,18.3,129
Beans chick peas Kabuli split dried boiled in unsalted water,7.7,2.0,17.4,114
Beans chick peas Kabuli split dried raw,22.7,5.4,49.6,325
Beans chick peas Kabuli whole dried boiled in unsalted water,8.4,3.0,18.3,129
Beans chick peas Kabuli whole dried raw,21.3,5.4,49.6,320
Beans cluster raw,2.6,0.1,3.0,23
Beans edamame frozen boiled in unsalted water,12.2,7.6,6.5,142
Beans green boiled in unsalted water,2.1,0.3,4.0,26
Beans green raw,2.1,0.4,3.1,24
Beans haricot canned re-heated drained,7.1,1.0,15.6,96
Beans haricot whole dried boiled in unsalted water,6.6,0.5,17.2,95
Beans haricot whole dried raw,21.4,1.6,49.7,286
Beans mung dahl dried boiled in unsalted water,7.8,0.4,15.3,92
Beans mung dahl dried raw,26.8,1.1,46.3,291
Beans mung whole dried boiled in unsalted water,8.6,0.7,15.8,100
Beans mung whole dried raw,23.9,1.1,46.3,279
Beans papri raw,5.4,0.3,4.2,40
Beans pigeon peas dahl dried boiled in unsalted water,8.7,0.5,21.2,118
Beans pigeon peas dahl dried raw,21.8,1.9,58.6,324
Beans pigeon peas whole dried boiled in unsalted water,8.5,0.5,21.2,117
Beans pigeon peas whole dried raw,20.0,1.9,58.6,317
Beans pinto dried boiled in unsalted water,8.9,0.7,23.9,137
Beans pinto dried raw,21.1,1.6,57.1,327
Beans pinto re-fried beans,6.2,1.1,15.3,107
Beans red kidney canned in water re-heated drained,8.6,1.0,15.1,100
Beans red kidney dried boiled in unsalted water,8.6,1.0,15.1,100
Beans red kidney dried raw,22.1,1.4,44.1,266
Beans runner boiled in unsalted water,1.1,0.5,1.9,16
Beans runner raw,1.6,0.4,3.2,22
Beans soya dried boiled in unsalted water,14.0,7.3,5.1,141
Beans soya dried raw,35.9,18.6,15.8,370
Beans sword raw,2.5,0.3,7.2,41
Beansprouts mung boiled in unsalted water,2.5,0.5,2.8,25
Beansprouts mung raw,2.9,0.5,4.0,31
Beansprouts mung stir-fried in rapeseed oil,1.9,6.1,2.5,72
Beef bourguignon homemade,13.8,6.2,2.5,140
Beef bourguignonne made with lean beef homemade,14.1,4.2,2.5,105
Beef extract,40.4,0.6,3.2,179
Beef olives homemade,13.9,11.0,1.6,159
Beef steak pudding homemade,11.5,10.2,18.7,207
Beef Stroganoff homemade,15.3,11.2,2.5,171
Beef Wellington homemade,16.3,25.5,16.2,356
Beef braising steak braised lean and fat,32.9,12.7,0.0,246
Beef braising steak braised lean only,34.4,9.7,0.0,225
Beef braising steak raw lean,21.8,5.7,0.0,139
Beef braising steak raw lean and fat,20.7,8.6,0.0,160
Beef braising steak slow cooked lean,31.4,7.9,0.0,197
Beef braising steak slow cooked lean and fat,29.0,11.2,0.0,217
Beef brisket boiled lean,31.4,11.0,0.0,225
Beef brisket boiled lean and fat,27.8,17.4,0.0,268
Beef brisket raw lean,21.1,6.1,0.0,139
Beef brisket raw lean and fat,18.4,16.0,0.0,218
Beef fat average cooked,15.5,52.3,0.0,533
Beef fat average raw,18.9,53.6,0.0,558
Beef fat average raw extra trimmed,6.8,72.2,0.0,677
Beef fillet steak fried in corn oil lean,28.2,7.9,0.0,184
Beef fillet steak fried in corn oil lean and fat,28.0,8.9,0.0,192
Beef fillet steak from steakhouse lean,28.7,7.0,0.0,178
Beef fillet steak from steakhouse lean and fat,28.5,7.8,0.0,184
Beef fillet steak grilled lean,29.1,8.0,0.0,188
Beef fillet steak grilled lean and fat,28.7,9.5,0.0,200
Beef fillet steak raw lean,21.2,6.1,0.0,140
Beef fillet steak raw lean and fat,20.9,7.9,0.0,155
Beef flank pot-roasted lean,31.8,14.0,0.0,253
Beef flank pot-roasted lean and fat,27.1,22.3,0.0,309
Beef flank raw lean,22.7,9.3,0.0,175
Beef flank raw lean and fat,19.7,20.8,0.0,266
